"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.345183667E0,1.317634964E-1,-3.146269798E-1,1.869712986E-2,3.416157755E-1
1.355237667E0,3.125225669E-1,-1.828892112E-2,4.137080491E-2,3.157790097E-1
1.365291667E0,3.998179883E-1,1.795481122E-1,-4.609944820E-3,4.383071981E-1
1.375344667E0,3.363347679E-1,2.221123338E-1,-1.817572633E-1,4.421432660E-1
1.385398667E0,1.948543686E-1,2.841255641E-1,-4.728057846E-1,5.850135648E-1
1.395452417E0,8.006241560E-2,2.766165698E-1,-6.225746852E-1,6.859489454E-1
1.405506417E0,-1.054492718E-1,2.047519505E-1,-6.743114340E-1,7.125579417E-1
1.415560417E0,-2.586340427E-1,3.702047646E-2,-6.026111215E-1,6.568121859E-1
1.425614417E0,-3.485934556E-1,-1.687383646E-1,-4.185987333E-1,5.702761896E-1
1.435668417E0,-4.274022281E-1,-2.687123036E-1,-1.017919115E-1,5.150151065E-1
1.445722417E0,-4.253334832E-1,-1.108018130E-1,2.014623070E-1,4.835004393E-1
1.455775417E0,-2.534089708E-1,-3.483420253E-2,5.494920909E-1,6.061114470E-1
1.465829417E0,-1.375832301E-1,-6.263128102E-2,7.403059604E-1,7.555823831E-1
1.475883417E0,1.685810745E-2,-1.015509331E-1,6.778121620E-1,6.855845060E-1
1.485937417E0,1.642494571E-1,-7.734638393E-2,4.137641823E-1,4.518419479E-1
1.495991417E0,1.854093611E-1,-4.069252789E-2,1.233989813E-1,2.264063197E-1
1.506045417E0,2.024738753E-1,4.303667665E-2,-1.143258568E-1,2.364703517E-1
1.516099417E0,2.849196160E-1,1.720075428E-1,-2.467881685E-1,4.143310060E-1
1.526153417E0,2.979606611E-1,2.393926102E-1,-2.185618313E-1,4.402938240E-1
1.536207417E0,2.027293986E-1,2.222193378E-1,-1.526491660E-1,3.373164850E-1
1.546260417E0,9.147618055E-2,1.853041112E-1,-8.847129643E-2,2.247947409E-1
1.556314417E0,-2.593883336E-2,1.241246939E-1,-3.612585247E-2,1.318515829E-1
