"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.861673583E0,4.963895056E-2,2.336259399E-1,-4.310520601E0,4.317132493E0
1.871726583E0,-1.062737658E-1,1.011085913E-2,-3.523258502E0,3.524875433E0
1.881778583E0,-1.549880522E-1,8.468931735E-2,-2.611957664E0,2.617922156E0
1.891831583E0,-8.094070394E-2,-4.982412457E-3,-1.893143656E0,1.894879713E0
1.901884583E0,3.711447045E-3,-1.599542387E-1,-1.153755051E0,1.164796055E0
1.911937583E0,7.942148767E-2,-2.854707161E-1,-6.348474061E-1,7.005944130E-1
1.921989583E0,4.424836591E-2,-3.165248398E-1,-2.933244038E-1,4.338030636E-1
1.932042583E0,8.205616996E-2,-2.731520945E-1,-3.600656927E-2,2.874747898E-1
1.942095583E0,1.427685410E-1,-1.478176117E-1,1.084635115E-1,2.323730534E-1
1.952148583E0,1.868153241E-1,7.941249758E-3,9.550783575E-2,2.099637480E-1
1.962200583E0,3.655678130E-1,1.598791020E-1,1.087465167E-1,4.135540569E-1
1.972253583E0,6.388509947E-1,2.794245489E-1,1.404448575E-1,7.112899760E-1
1.982306583E0,8.253372668E-1,3.103580739E-1,2.214615387E-1,9.091473759E-1
1.992358583E0,9.632828781E-1,3.586344405E-1,3.939245796E-1,1.100776607E0
2.002411583E0,1.031852372E0,4.165927729E-1,6.600056362E-1,1.293783713E0
2.012464583E0,1.048687018E0,4.248407091E-1,8.859788865E-1,1.437077825E0
2.022517583E0,9.429918703E-1,3.870177023E-1,1.021906185E0,1.443367112E0
2.032569583E0,7.731543023E-1,3.416821928E-1,1.176695432E0,1.448836235E0
2.042622583E0,5.475858986E-1,4.274852586E-1,1.456978206E0,1.614118786E0
2.052675583E0,1.919480283E-1,4.559544745E-1,1.835130506E0,1.900642655E0
2.062728583E0,5.608431811E-2,4.928727709E-1,2.200052311E0,2.255282508E0
2.072780583E0,2.373761796E-1,6.332796215E-1,2.281917424E0,2.380028920E0
2.082833583E0,3.007524324E-1,6.439627768E-1,2.158207297E0,2.272223321E0
2.092886583E0,2.445960839E-1,5.610507207E-1,2.176968673E0,2.261370770E0
2.102939583E0,2.414083464E-1,5.440663134E-1,2.387122282E0,2.460211156E0
2.112991583E0,3.678383233E-1,6.234940137E-1,2.682644654E0,2.778602555E0
2.123044583E0,4.710539588E-1,6.996477118E-1,2.955285702E0,3.073290148E0
2.133097583E0,4.882191912E-1,6.552145739E-1,3.109869711E0,3.215424348E0
2.143150583E0,5.388829029E-1,5.148930927E-1,3.304145206E0,3.387164776E0
2.153202583E0,6.558647843E-1,3.479616639E-1,3.561489353E0,3.638054747E0
2.163255583E0,8.424485587E-1,1.749868454E-1,3.743973936E0,3.841572700E0
2.173308583E0,9.907350440E-1,3.565105855E-2,3.753172776E0,3.881898094E0
2.183360583E0,1.077902923E0,-8.007981107E-2,3.464960593E0,3.629633507E0
2.193413583E0,9.699674881E-1,-3.288766444E-1,2.981916845E0,3.152907364E0
2.203466583E0,8.746629893E-1,-5.746681550E-1,2.579531345E0,2.783749413E0
2.213519583E0,7.880747887E-1,-6.921524584E-1,2.268360069E0,2.499118705E0
2.223571583E0,6.925491920E-1,-6.693347226E-1,1.864615091E0,2.098671673E0
2.233624583E0,7.236378144E-1,-6.749185212E-1,1.452859427E0,1.757830257E0
2.243677583E0,7.536263562E-1,-6.692687953E-1,1.075018199E0,1.473613767E0
2.253730333E0,7.194315467E-1,-7.533004470E-1,7.064974326E-1,1.258642895E0
2.263782333E0,6.943176824E-1,-9.440557712E-1,1.804719722E-1,1.185701681E0
2.273835333E0,6.643589614E-1,-1.040461155E0,-4.131262511E-1,1.301770158E0
2.283888333E0,4.391299155E-1,-1.007893040E0,-9.450024354E-1,1.449728618E0
2.293941333E0,-2.370711559E-2,-1.036585035E0,-1.525120488E0,1.844197133E0
2.303993333E0,-3.433579683E-1,-1.051192403E0,-1.747922208E0,2.068364622E0
2.314046333E0,-4.833291648E-1,-9.569151141E-1,-1.521629115E0,1.861356705E0
2.324099333E0,-5.723994353E-1,-9.345515607E-1,-1.407498482E0,1.783838477E0
2.334152333E0,-5.252512159E-1,-1.013211229E0,-1.607230598E0,1.971211818E0
2.344204333E0,-3.598633790E-1,-1.107451535E0,-1.890680809E0,2.220500951E0
2.354257333E0,-1.529148123E-1,-1.159951930E0,-2.263429697E0,2.547937482E0
2.364310333E0,1.288902112E-1,-1.233818490E0,-2.778147227E0,3.042535582E0
2.374363333E0,4.250940763E-1,-1.279606281E0,-3.328944417E0,3.591652564E0
2.384415333E0,6.064098017E-1,-1.309294203E0,-3.790946374E0,4.056261649E0
2.394468333E0,6.172297454E-1,-1.321944800E0,-4.037519950E0,4.293026666E0
2.404521333E0,5.206543908E-1,-1.315437580E0,-4.271665853E0,4.499842907E0
2.414573333E0,4.268651248E-1,-1.329344160E0,-4.637785753E0,4.843389972E0
2.424626333E0,2.592080566E-1,-1.226013626E0,-5.108984211E0,5.260419935E0
2.434679333E0,1.331411004E-1,-1.178954358E0,-5.551783912E0,5.677144048E0
2.444732333E0,1.031921004E-1,-1.200778359E0,-5.599685472E0,5.727913640E0
2.454784333E0,1.476818101E-1,-1.102366942E0,-5.194224336E0,5.311966608E0
2.464837333E0,1.335274552E-1,-9.988281021E-1,-4.674037321E0,4.781434098E0
2.474890333E0,1.449572269E-1,-1.002291554E0,-4.238408060E0,4.357717733E0
2.484943333E0,2.508117107E-1,-1.060294472E0,-3.850807244E0,4.001980424E0
2.494995333E0,3.197076255E-1,-1.065955015E0,-3.312598525E0,3.494536028E0
2.505048333E0,2.498991796E-1,-1.017965454E0,-2.638416899E0,2.839004579E0
2.515101333E0,1.094467208E-1,-1.049115618E0,-1.956585361E0,2.222801935E0
2.525154333E0,5.150154456E-2,-1.145723608E0,-1.347190300E0,1.769253147E0
2.535206333E0,6.928438917E-2,-1.143950732E0,-9.400247008E-1,1.482251680E0
2.545259333E0,7.161918238E-2,-1.056952934E0,-6.085700190E-1,1.221734947E0
2.555312333E0,7.966290459E-2,-1.090706571E0,-2.064488125E-1,1.112927722E0
2.565365333E0,7.443724796E-2,-1.173380938E0,1.641272503E-1,1.187140044E0
2.575417333E0,-3.619558051E-2,-1.101835577E0,4.706084740E-1,1.198675975E0
2.585470333E0,-1.487689537E-1,-1.065258758E0,8.980434465E-1,1.401210353E0
2.595523333E0,-1.889840564E-1,-1.218294717E0,1.311371427E0,1.799903333E0
2.605576333E0,-7.446316575E-1,-1.703158557E0,1.961032754E0,2.702013108E0
2.615628333E0,-5.772266042E-1,-1.486930276E0,2.384243113E0,2.868582824E0
2.625681333E0,-4.854222487E-1,-1.203332862E0,2.728124297E0,3.020977808E0
2.635734333E0,-8.881778781E-1,-1.409472210E0,2.979548723E0,3.413675797E0
2.645786333E0,-1.151262091E0,-1.690443786E0,2.774703802E0,3.447025643E0
2.655839333E0,-8.596510671E-1,-1.571569600E0,2.719799032E0,3.256706578E0
2.665892333E0,-7.486761765E-1,-1.222141819E0,3.379348000E0,3.670713766E0
2.675945333E0,-9.805536528E-1,-1.006266491E0,3.836647042E0,4.085819164E0
2.685997333E0,-1.442617006E0,-1.022287277E0,3.936349670E0,4.315213069E0
2.696050333E0,-1.828498156E0,-9.934393081E-1,3.651476247E0,4.202809292E0
2.706103333E0,-1.852873151E0,-8.210497228E-1,3.127231264E0,3.726504655E0
2.716156333E0,-1.620515618E0,-5.492496873E-1,2.724282677E0,3.217058002E0
2.726208333E0,-1.268089459E0,-2.919797269E-1,2.493358589E0,2.812497127E0
2.736261333E0,-9.829689914E-1,-2.020372710E-1,2.445658173E0,2.643537591E0
2.746314333E0,-9.536036897E-1,-1.820301273E-1,2.861972326E0,3.022148335E0
2.756367333E0,-9.451109013E-1,2.076656912E-3,3.165267987E0,3.303355923E0
2.766419333E0,-9.887492564E-1,2.194492560E-1,3.270785086E0,3.424006155E0
2.776472333E0,-1.079159197E0,3.621596171E-1,3.107875226E0,3.309778328E0
2.786525333E0,-1.222628235E0,3.391241456E-1,2.777330371E0,3.053422502E0
2.796578333E0,-1.273217175E0,3.753660653E-1,2.528112684E0,2.855404595E0
2.806630333E0,-1.172027600E0,5.499619513E-1,2.408561683E0,2.734460865E0
2.816683333E0,-1.129234752E0,7.494898166E-1,2.480266673E0,2.826416261E0
2.826736333E0,-1.150339692E0,8.039044440E-1,2.661718639E0,3.009034708E0
2.836788333E0,-1.160980455E0,8.220296431E-1,2.627158670E0,2.987569419E0
2.846841333E0,-1.264234975E0,7.967687944E-1,2.604795409E0,3.003013438E0
2.856894333E0,-1.435366605E0,6.532838233E-1,2.663459355E0,3.095330803E0
2.866947333E0,-1.351168746E0,6.384237094E-1,2.497185591E0,2.910185164E0
2.876999333E0,-1.117511377E0,6.535525028E-1,2.220744438E0,2.570538545E0
2.887052333E0,-8.746311951E-1,6.346514513E-1,1.793196614E0,2.093637096E0
2.897105333E0,-4.892704475E-1,6.634421179E-1,1.109617344E0,1.382313880E0
2.907158333E0,8.668789566E-3,8.109167174E-1,2.674937439E-1,8.539402634E-1
2.917210333E0,4.457510832E-1,1.007850794E0,-5.232228899E-1,1.219926000E0
2.927263333E0,7.169887993E-1,1.231999567E0,-1.203414869E0,1.865503476E0
2.937316333E0,8.045780432E-1,1.436656647E0,-1.769347576E0,2.417006204E0
2.947369333E0,7.839246543E-1,1.528993976E0,-2.300323874E0,2.871210610E0
2.957421333E0,7.529721259E-1,1.574934818E0,-2.847922052E0,3.340366255E0
2.967474333E0,7.756093289E-1,1.586450325E0,-3.401379139E0,3.832463244E0
2.977527333E0,7.898560698E-1,1.605850802E0,-3.959902255E0,4.345509783E0
2.987580333E0,7.808993049E-1,1.606780947E0,-4.511491157E0,4.852329461E0
2.997632333E0,7.504379426E-1,1.530047206E0,-4.967686830E0,5.251867667E0
3.007685333E0,6.263544716E-1,1.476676014E0,-5.305901477E0,5.543057140E0
3.017738333E0,4.263434435E-1,1.490184251E0,-5.488279642E0,5.702949348E0
3.027790333E0,2.651854093E-1,1.489662680E0,-5.498102379E0,5.702503659E0
3.037843333E0,1.816712362E-1,1.339397131E0,-5.311625317E0,5.480908010E0
3.047896333E0,-5.160167813E-3,1.092485367E0,-4.655543162E0,4.782011401E0
3.057949333E0,-2.379788996E-1,8.305708171E-1,-3.833115909E0,3.929282302E0
3.068001333E0,-3.075027323E-1,5.802036044E-1,-3.098499801E0,3.167316714E0
3.078054333E0,-2.687181509E-1,4.373371226E-1,-2.497425327E0,2.549628692E0
3.088107333E0,-1.556153123E-1,3.450694118E-1,-2.045708622E0,2.080435722E0
3.098160333E0,-7.222232267E-2,2.987603043E-1,-1.588396132E0,1.617861569E0
3.108212333E0,-4.443050668E-2,2.972255016E-1,-9.785122436E-1,1.023622626E0
3.118265333E0,3.707412466E-2,3.214355508E-1,-3.468153173E-1,4.743165276E-1
3.128318333E0,8.630051762E-2,4.429313000E-1,2.529885560E-1,5.173385017E-1
3.138371333E0,1.206546637E-1,5.306335414E-1,6.963577759E-1,8.837667425E-1
