"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.853131750E0,2.671216856E0,9.610366702E-2,-3.849030275E0,4.686114538E0
1.863185750E0,2.922494224E0,1.867577291E-1,-3.568429998E0,4.616226119E0
1.873239750E0,3.046051738E0,-2.945417941E-2,-3.335126678E0,4.516898128E0
1.883293750E0,2.883640938E0,-4.138366878E-2,-3.192061683E0,4.301901377E0
1.893347750E0,2.662133791E0,3.058520633E-1,-3.045432225E0,4.056495932E0
1.903401750E0,2.259674761E0,4.811100733E-1,-3.343594031E0,4.064138036E0
1.913455750E0,2.292979625E0,4.715662479E-1,-4.169589255E0,4.781799331E0
1.923509750E0,2.468059733E0,4.516898078E-1,-4.971440742E0,5.568713099E0
1.933564750E0,2.916606955E0,3.482642573E-1,-5.553579592E0,6.282525798E0
1.943618750E0,3.555435145E0,-7.861990750E-2,-5.946067511E0,6.928421105E0
1.953672750E0,3.652659724E0,-2.836232883E-1,-6.125827292E0,7.137795545E0
1.963726750E0,3.127142386E0,-6.406697711E-1,-6.279805530E0,7.044532260E0
1.973780750E0,2.531378354E0,-1.456428860E0,-6.806066633E0,7.406186901E0
1.983834750E0,2.695362933E0,-1.859832361E0,-7.069628125E0,7.791251477E0
1.993888750E0,4.879906674E0,-6.703297725E-1,-6.337597071E0,8.026703420E0
2.003942750E0,5.764530761E0,-4.017683271E-1,-5.951457474E0,8.295244345E0
2.013996750E0,4.498999751E0,-1.041016932E0,-4.710779470E0,6.596677817E0
2.024050750E0,3.834118121E0,-1.698647137E0,-4.746097237E0,6.333348470E0
2.034104750E0,3.435752289E0,-1.829473033E0,-5.120690337E0,6.432171864E0
2.044158750E0,3.461165458E0,-1.539740866E0,-4.862187272E0,6.163711003E0
2.054212750E0,3.871259927E0,-1.524069158E0,-4.312260733E0,5.992080845E0
2.064266750E0,4.169752393E0,-1.936691087E0,-4.084871287E0,6.150104130E0
2.074320750E0,3.993130520E0,-2.848133721E0,-5.088672153E0,7.067640435E0
